Date,@attributes.createdAt,message,attributes,attributes.indexName,attributes.jobID,@attributes.planID,@attributes.shardID,@attributes.shardType,attributes.appID,Message
"2024-04-10T11:31:02.585Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 41m1.250206824s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476210,""indexName"":""search-prd-wes-products"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377996-1"",""planID"":2377996,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:31:02.585822163Z""}","""search-prd-wes-products""","2270476210","2377996","""sh-2377996-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 41m1.250206824s"
"2024-04-10T11:30:03.285Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 40m1.949997907s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476209,""indexName"":""search-prd-wes-products-price-asc"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377995-1"",""planID"":2377995,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:30:03.285612208Z""}","""search-prd-wes-products-price-asc""","2270476209","2377995","""sh-2377995-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 40m1.949997907s"
"2024-04-10T11:29:02.266Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 39m0.930496192s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476210,""indexName"":""search-prd-wes-products"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377996-1"",""planID"":2377996,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:29:02.266105916Z""}","""search-prd-wes-products""","2270476210","2377996","""sh-2377996-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 39m0.930496192s"
"2024-04-10T11:28:02.216Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 38m0.880928141s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476209,""indexName"":""search-prd-wes-products-price-asc"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377995-1"",""planID"":2377995,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:28:02.21654042Z""}","""search-prd-wes-products-price-asc""","2270476209","2377995","""sh-2377995-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 38m0.880928141s"
"2024-04-10T11:27:02.259Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 37m0.924260049s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476209,""indexName"":""search-prd-wes-products-price-asc"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377995-1"",""planID"":2377995,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:27:02.259881329Z""}","""search-prd-wes-products-price-asc""","2270476209","2377995","""sh-2377995-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 37m0.924260049s"
"2024-04-10T11:26:02.310Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 36m0.974475052s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476209,""indexName"":""search-prd-wes-products-price-asc"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377995-1"",""planID"":2377995,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:26:02.3100932Z""}","""search-prd-wes-products-price-asc""","2270476209","2377995","""sh-2377995-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 36m0.974475052s"
"2024-04-10T11:25:02.944Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 35m1.609262193s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476209,""indexName"":""search-prd-wes-products-price-asc"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377995-1"",""planID"":2377995,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:25:02.944875904Z""}","""search-prd-wes-products-price-asc""","2270476209","2377995","""sh-2377995-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 35m1.609262193s"
"2024-04-10T11:24:02.252Z","""2024-04-10T10:50:01.335597Z""","""oldest pending job is 34m0.916820506s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:50:01.335597Z"",""jobID"":2270476209,""indexName"":""search-prd-wes-products-price-asc"",""appID"":""4JF4HATVV9"",""shardID"":""sh-2377995-1"",""planID"":2377995,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:24:02.252429398Z""}","""search-prd-wes-products-price-asc""","2270476209","2377995","""sh-2377995-1""","""keyword""","""4JF4HATVV9""","oldest pending job is 34m0.916820506s"
"2024-04-10T11:23:02.288Z","""2024-04-10T10:45:29.047546Z""","""oldest pending job is 37m33.24139054s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:29.047546Z"",""jobID"":2270312539,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377517-1"",""planID"":2377517,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:23:02.288954054Z""}","""lc_prod_ct_products""","2270312539","2377517","""sh-2377517-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 37m33.24139054s"
"2024-04-10T11:22:02.224Z","""2024-04-10T10:45:29.047546Z""","""oldest pending job is 36m33.176573226s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T10:45:29.047546Z"",""jobID"":2270312539,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377517-1"",""planID"":2377517,""shardType"":""keyword""},""timestamp"":""2024-04-10T11:22:02.224134372Z""}","""lc_prod_ct_products""","2270312539","2377517","""sh-2377517-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 36m33.176573226s"
